orif_cost,tha_cost,inmb
24900.0,34350.0,30319924.942333102
26200.0,34350.0,31619924.942333102
27500.0,34350.0,32919924.942333102
28800.0,34350.0,34219924.9423331
30100.0,34350.0,35519924.9423331
31400.0,34350.0,36819924.94233311
32700.0,34350.0,38119924.94233311
34000.0,34350.0,39419924.94233311
35300.0,34350.0,40719924.94233311
36600.0,34350.0,42019924.94233311
37900.0,34350.0,43319924.94233311
39200.0,34350.0,44619924.94233311
40500.0,34350.0,45919924.94233311
41800.0,34350.0,47219924.94233311
43100.0,34350.0,48519924.94233311
44400.0,34350.0,49819924.94233311
45700.0,34350.0,51119924.94233317
47000.0,34350.0,52419924.94233314
48300.0,34350.0,53719924.942333184
49600.0,34350.0,55019924.94233317
50900.0,34350.0,56319924.942333125
52200.0,34350.0,57619924.942333154
53500.0,34350.0,58919924.94233311
54800.0,34350.0,60219924.94233314
56100.0,34350.0,61519924.942333125
57400.0,34350.0,62819924.942333125
58700.0,34350.0,64119924.94233311
60000.0,34350.0,65419924.94233311
8000.0,35900.0,11869924.942333158
9300.0,35900.0,13169924.942333158
10600.0,35900.0,14469924.942333158
11900.0,35900.0,15769924.942333154
13200.0,35900.0,17069924.942333207
14500.0,35900.0,18369924.942333177
15800.0,35900.0,19669924.942333125
17100.0,35900.0,20969924.942333102
18400.0,35900.0,22269924.942333095
19700.0,35900.0,23569924.94233311
21000.0,35900.0,24869924.94233311
22300.0,35900.0,26169924.94233311
23600.0,35900.0,27469924.94233311
24900.0,35900.0,28769924.942333102
26200.0,35900.0,30069924.942333102
27500.0,35900.0,31369924.942333102
28800.0,35900.0,32669924.942333102
30100.0,35900.0,33969924.9423331
31400.0,35900.0,35269924.94233311
32700.0,35900.0,36569924.94233311
34000.0,35900.0,37869924.94233311
35300.0,35900.0,39169924.94233311
36600.0,35900.0,40469924.94233311
37900.0,35900.0,41769924.94233311
39200.0,35900.0,43069924.94233311
40500.0,35900.0,44369924.94233311
41800.0,35900.0,45669924.94233311
43100.0,35900.0,46969924.94233311
44400.0,35900.0,48269924.94233311
45700.0,35900.0,49569924.94233317
47000.0,35900.0,50869924.94233314
48300.0,35900.0,52169924.942333184
49600.0,35900.0,53469924.94233317
